DATAFLOW,MEASURE,PROPERTY_TYPE,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_STATUS,OBS_COMMENT
ABS:RPPI(1.0.0),2,1,6GHOB,Q,2021-Q4,4.9,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2002-Q1,,PCT,u,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2002-Q2,,PCT,u,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2002-Q3,,PCT,u,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2002-Q4,,PCT,u,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2003-Q1,,PCT,q,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2003-Q2,,PCT,q,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2003-Q3,,PCT,q,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2003-Q4,,PCT,q,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2004-Q1,,PCT,q,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2004-Q2,,PCT,q,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2004-Q3,-1.2,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2004-Q4,0.8,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2005-Q1,4,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2005-Q2,2.8,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2005-Q3,3.7,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2005-Q4,1.8,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2006-Q1,4.8,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2006-Q2,6,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2006-Q3,6.7,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2006-Q4,7.5,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2007-Q1,5.8,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2007-Q2,11.2,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2007-Q3,14,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2007-Q4,17.8,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2008-Q1,12.9,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2008-Q2,5.6,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2008-Q3,1,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2008-Q4,-3,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2009-Q1,0.5,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2009-Q2,4.9,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2009-Q3,12.9,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2009-Q4,20.8,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2010-Q1,21.9,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2010-Q2,20,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2010-Q3,11.5,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2010-Q4,4.9,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2011-Q1,1.7,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2011-Q2,-1.3,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2011-Q3,-2.3,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2011-Q4,-4.5,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2012-Q1,-4,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2012-Q2,-4.7,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2012-Q3,-1.8,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2012-Q4,1.5,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2013-Q1,0.9,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2013-Q2,3.9,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2013-Q3,5.6,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2013-Q4,7,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2014-Q1,7.1,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2014-Q2,5.9,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2014-Q3,4.1,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2014-Q4,2.3,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2015-Q1,1.1,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2015-Q2,3.2,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2015-Q3,4.5,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2015-Q4,4.4,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2016-Q1,3.9,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2016-Q2,2.8,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2016-Q3,1.5,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2016-Q4,3.2,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2017-Q1,3.9,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2017-Q2,5.3,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2017-Q3,4.5,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2017-Q4,4.2,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2018-Q1,4.4,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2018-Q2,1.4,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2018-Q3,0.7,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2018-Q4,-2,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2019-Q1,-5.7,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2019-Q2,-5.8,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2019-Q3,-1.2,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2019-Q4,3.2,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2020-Q1,9.3,PCT,,
ABS:RPPI(1.0.0),3,1,2GMEL,Q,2020-Q2,8.6,PCT,,
